aktualisierung;Text
"4 Std."; "Save the date: Am 18./19. März 2020 laden wir zu den Bechtle Competence Days ein. Merken Sie sich jetzt das Branchen-Event in Neckarsulm vor! Hashtag#CDays Hashtag#zukunftsstark"
"1 Tag"; "Moderne Zusammenarbeit – an jedem Ort, zu jeder Zeit. Das wünscht sich jedes Unternehmen. Gemeinsam mit unseren Partnern ermöglichen wir Ihnen genau das: https://lnkd.in/dJe7V9d Hashtag#Cisco Hashtag#Apple Hashtag#Collaboration"
"2 Tage"; "Die Leser der IT-Business stimmten ab und kürten die „Top 100 Channel VIPs“ 2019. In der Kategorie „Systemhaus“ liegen alle drei Bechtle Vorstände unter den Top 15. Michael Guschlbauer belegt Rang 2, Thomas Olemotz Platz 4 und Jürgen Schäfer kommt auf Rang 13. Ein großartiges Ergebnis. Da darf man sich auch mal entspannt zurücklehnen – zumindest kurz ?? Hashtag#Bechtle Hashtag#OneBechtle Hashtag#Führung"
"3 Tage"; "Verstärkung in den Niederlanden - ivizi ist Apple Premium Reseller und seit 25 Jahren am niederländischen Markt etabliert."
"6 Tage"; "Wir heißen die neuen Kolleginnen und Kollegen um Robert de Vree herzlich willkommen. Sie werden Teil eines Bechtle Apple Centre of Excellence bei ARP Nederland B.V..Thomas Jensen Jan Prinsen. http://bit.ly/2Pr8v8n Hashtag#erfahren Hashtag#verbunden Hashtag#zukunftsstark"
"1 Woche"; "Haben Sie in Ihrem Unternehmen einen Passwortmanager im Einsatz? Falls nein, sollten Sie definitiv darüber nachdenken. Bechtle System Engineer Marcel Philippi gibt Ihnen einen Überblick, wie Sie mehr Abhilfe und Sicherheit für Ihre Mitarbeiter schaffen."
"1 Woche"; "Collaboration-Tools ermöglichen eine effizientere und reibungslosere Zusammenarbeit. Wie ist Ihr Unternehmen  aufgestellt? Machen Sie den Test!"
"1 Woche"; "Von jetzt auf Cloud in vier Schritten. Ja, das geht! Mit unserem speziellen Modell erstellen wir Ihre perfekt angepasste und sichere Cloud-Lösung."
"2 Wochen"; "Die traurige Realität der Schatten-IT in vielen Unternehmen: WhatsApp als interne Kommunikationsplattform, Facebook und LinkedIn als Intranet und mobile Geräte, die die IT-Sicherheit gefährden. Was Sie dagegen tun können, weiß unser Experte Helge Höhn."
"2 Wochen"; "We’re very pleased to be welcoming the lovely José Van Dijk, Vice President Operations and Partner Performance GPO at Cisco and her fantastic team to Bechtle Platz 1 this week. We’ve talked a lot about our collaboration and one thing is sure — we’re going to rock 2020 together! Hashtag#verbunden Hashtag#zukunftsstark"
"2 Wochen"; "Wir lassen heute ordentlich die Konfetti-Kanonen knallen! Unser Kundenmagazin Bechtle update wurde beim ICMA-Award mit Silber ausgezeichnet. Wooohooooooo! Hashtag#zukunftsstark https://lnkd.in/d8mRZbJ"
